"product_name";"product_brand";"product_package_has";"product_macro_for";"product_kcal";"product_protein";"product_fat";"product_carbs";"comment_optional"
"Pizza - Margherita - Pan";"Pizza hut";547.0;100.0;261.0;12.7;9.3;30.2;"izzaHut-Nutrition-po-polsku2025.pdf"
"Pizza - Pepperoni - z serem w brzegach";"Pizza Hut";709.0;100.0;314.0;19.6;15.3;22.9;"Dane z pdfu w projekcie"
"Pizza - serowa  - pan - ma³a";"Pizza hut";282.0;100.0;130.0;6.0;4.0;16.0;"nutrition_information_eng--pizza hut.pdf"
"Pizza domowa";"Domowe";0.0;100.0;181.24;7.93;7.34;20.42;"Link: https://www.tabele-kalorii.pl/kalorie,Pizza-domowa-Przepis-od-doopek.html"
"Pizza Tradycyjna Capricciosa - du¿a";"Pizza Hut";1088.0;100.0;291.0;12.7;14.3;27.7;""
"Pizza wrap - gyros";"¯abka";238.0;100.0;238.0;9.9;7.6;30.0;""
"Pizza z szynk¹ i pieczarkami - Apetito";"Apetito";1000.0;100.0;194.0;5.8;6.8;27.2;"Produkt dostêpny w biedronce Link: https://www.tabele-kalorii.pl/kalorie,Pizza-z-szynka-i-pieczarkami-Apetito.html"
"Placki z cukinii";"Domowe";0.0;100.0;50.61;2.85;1.36;6.98;"Domowe"
"Placki ziemniaczane";"Domowe";0.0;100.0;268.0;6.0;15.0;28.0;"Domowe"
"P³atki - Cinisy";"Lubella";500.0;100.0;408.0;9.0;8.2;70.0;""
"P³atki - hopki - czekoladowe";"";0.0;100.0;374.0;7.4;2.7;77.0;"Produkt kupowany z biedronki"
"P³atki - kangus";"Nestle";250.0;100.0;371.0;9.1;1.9;73.8;""
"P³atki - kukurydziane";"Corn Flakes";500.0;100.0;382.0;7.4;1.4;82.9;""
"P³atki - lion";"Nestle";0.0;100.0;400.0;8.7;5.5;76.1;""
"P³atki - Miodo Kó³ka";"Lubella";500.0;100.0;395.0;9.9;4.5;76.0;""
"P³atki - pszenica durum w polewie z miodem";"Puffinki";230.0;100.0;386.0;9.6;1.8;80.0;""
"P³atki Cini Minis";"Nestle";0.0;100.0;412.0;4.9;9.9;75.9;""
"P³atki kukurydziane";"Lubella";0.0;100.0;394.0;6.6;2.3;85.0;""
"P³atki kukurydziane - miodowe";"Corn Flakes";450.0;100.0;401.0;7.1;4.8;80.4;"U¿ywane zazwyczaj jako sk³adnik œniadania lub kolacji"
"P³atki Mleko³aki kó³ka miodowe";"Lubella";0.0;100.0;395.0;9.9;4.5;76.0;""
"P³atki owsiane górskie";"Vitanella";500.0;100.0;363.0;13.0;5.7;60.0;""
"P³aty œledziowe sma¿one w sosie pomidorowym";"Seko";800.0;100.0;118.0;7.6;5.5;9.5;""
"Polêdwica drobiowa - Kraina Wêdlin";"Kraina Wêdlin";250.0;100.0;100.0;18.0;2.0;2.5;""
"Pomarañcza";"owoce";0.0;100.0;45.0;0.7;0.21;9.14;"Link: https://www.tabele-kalorii.pl/kalorie,Pomarancza.html"
"Pomidor";"Warzywa";0.0;100.0;20.0;1.0;0.2;3.0;"Warzywa"
"Pomidorowa na rosole";"Produkt ogolny";0.0;100.0;33.58;2.42;2.86;1.79;"/www.tabele-kalorii.pl/kalorie,Pomidorowa-na-rosole-Przepis-od-wiedma.html"
"Popcorn domowy";"";0.0;100.0;425.54;11.09;14.26;66.79;""
"Popcorn maœlany - Helio";"Helio";90.0;100.0;430.0;4.6;20.0;55.0;""
"Por";"warzywa";0.0;100.0;61.0;1.5;0.3;12.35;"/www.tabele-kalorii.pl/kalorie,Por.html"
"Prince Polo Classic XXL";"Kraft Foods Polska S.A. Oddzia³ Olza";50.0;100.0;530.0;5.4;29.5;58.0;""
"Pulpety w sosie pomidorowym - Pudliszki";"Pudliszki";600.0;100.0;181.0;5.1;8.8;7.3;""
"Quick Cao";"";0.0;100.0;370.0;4.5;2.1;80.0;"Wype³niæ ile ma opakowanie"
"Riso - czekolada";"Muller";200.0;100.0;109.0;3.4;2.7;17.5;""
"Riso - karmel";"Muller";200.0;100.0;107.0;3.1;2.3;18.3;""
"Riso - pistacja";"Muller";200.0;100.0;108.0;3.2;2.4;18.3;""
"Riso - truskawka";"Muller";200.0;100.0;104.0;2.9;2.1;18.0;""
"Riso - wanilia ";"Muller";200.0;100.0;103.0;3.3;2.5;16.8;""
"Rogal maœlany";"produkt ogólny";100.0;100.0;322.0;8.6;5.7;58.3;"produkt ogólny Link: https://www.tabele-kalorii.pl/kalorie,Rogal-maslany.html"
"Rogalik z nadzieniem karmelowym";"Kaufland";240.0;100.0;470.0;6.5;26.0;52.0;""
"Rogalik z nadzieniem nugatowym";"Kaufland";240.0;100.0;484.0;6.4;28.0;51.0;""
"Ro¿ek o smaku truskawkowym";"Auchan";67.0;100.0;257.0;2.9;12.0;34.0;"/zakupy.auchan.pl/products/ro%C5%BCek-o-smaku-truskawkowym-auchan-110-ml/00994170?srsltid=AfmBOorlnirpxsjTWjspgBE6URLLD6PQ1ryXOty17buPBe5KgW5YtOJH"
"Ro¿ek o smaku waniliowym";"Auchan";67.0;100.0;254.0;2.9;12.0;34.0;"/zakupy.auchan.pl/products/ro%C5%BCek-o-smaku-waniliowym-auchan-110-ml/00994162?srsltid=AfmBOooOZKv-kc7YFiznFeKdX-dIZeCj-_IG0LeZFTyCVxPAsgTjdX9P"
"Rozpuszczalna kawa zbo¿owa";"Inka";200.0;100.0;360.0;4.8;0.2;79.0;""
"Rurki z kremem czekoladowym";"Bonitki";280.0;100.0;506.0;5.6;25.0;63.0;"Dane z opakowania"
"Ryba po grecku";"Seko";0.0;100.0;99.0;4.5;4.5;9.6;""
"Ryba po grecku - [Marinero]";"Marinero";500.0;100.0;151.0;8.1;10.0;7.1;"link: https://www.tabele-kalorii.pl/kalorie,Ryba-po-grecku-Marinero.html"
"Ryba po hawajsku";"Seko";0.0;100.0;154.0;8.4;7.8;12.0;""
"Ry¿ ugotowany";"";0.0;100.0;112.8;2.36;0.28;25.06;""
"Rzodkiew";"";0.0;100.0;16.0;1.0;0.0;3.0;""
"Sa³ata";"";0.0;100.0;13.0;1.4;0.2;1.1;""
"Sa³atka z ogórka z oliw¹ i octem";"Domowa";0.0;100.0;43.59;0.83;2.79;3.77;"/www.tabele-kalorii.pl/kalorie,Salatka-z-ogorka-z-oliwa-i-octem-Przepis-od-ufaye.html"
"Sa³atka z tuñczykiem, jajkiem i kukurydz¹";"domowa";0.0;100.0;111.09;8.43;4.44;9.23;"Link: https://www.tabele-kalorii.pl/kalorie,Salatka-z-tunczykiem-jajkiem-i-kukurydza-Przepis-od-hrumpek.html"
"Schab wêdzony na wiœniowo";"Kraina Wêdlin";250.0;100.0;102.0;18.0;2.4;2.0;""
"Ser do naleœników";"domowe";0.0;100.0;165.17;14.23;3.03;19.96;"/www.tabele-kalorii.pl/kalorie,Ser-do-nalesnikow-Przepis-od-doopek.html"
"Ser Gouda";"Œwiatowid";400.0;100.0;334.0;25.0;26.0;0.0;""
"Ser królewski";"Sierpc";0.0;100.0;352.0;26.0;27.0;1.2;""
"Ser Liliput";"Œwiatowid";350.0;100.0;343.0;25.0;27.0;0.0;""
"Ser morski";"Œwiatowid";0.0;100.0;321.0;24.0;25.0;0.0;""
"Ser Podlaski w plastrach";"Œwiatowid";300.0;100.0;347.0;26.0;27.0;0.0;""
"Ser Salami";"Œwiatowd";0.0;100.0;298.0;25.0;22.0;0.0;""
"Serek - œmietankowy z zio³ami - do smarowania";"Pi¹tnica";135.0;100.0;243.0;6.0;23.0;3.0;""
"Serek Almette z chrzanem";"Hochland";150.0;100.0;250.0;6.8;23.0;4.0;""
"Serek £aciaty z czosnkiem";"£aciaty";150.0;100.0;250.0;5.8;23.0;4.9;"Link: https://www.tabele-kalorii.pl/kalorie,Serek-Laciaty-z-czosnkiem-Laciaty.html"
"Serek wiejski";"Ko³o";200.0;100.0;97.0;11.0;6.0;2.7;"Opakowanie ma - 200g"
"Sezamki classic";"Bonitki";81.0;100.0;527.0;11.0;29.0;53.0;"Jedno opakowanie 81g - ma 3 mniejsze opakowania po - 27g"
"Shake o smaku truskawkowym du¿y";"McDonalds";200.0;100.0;117.0;3.0;2.1;21.0;"Dane z pdfu w projekcie"
"Skyr - z truskawkami";"Pi¹tnica";150.0;100.0;82.0;9.6;0.0;11.0;""
"Skyr waniliowy";"Pi¹tnica";450.0;100.0;82.0;9.6;0.0;11.0;""
"Skyr z truskawkami";"Mlekovita";500.0;100.0;72.0;10.0;0.0;8.0;"/www.tabele-kalorii.pl/kalorie,Skyr-jogurt-typu-islandzkiego-z-truskawkami-Mlekovita.html"
"ŒledŸ sma¿ony";"Domowe";0.0;100.0;222.0;14.73;14.63;7.98;"/www.tabele-kalorii.pl/kalorie,Sledzie-swieze-smazone-Przepis-od-zabczykowna.html"
"Œliwka suszona";"Owoce suszone";0.0;100.0;294.0;3.4;3.2;58.3;"/www.tabele-kalorii.pl/kalorie,Sliwka-suszona-Helio.html"
"Œliwki";"owoce";0.0;100.0;46.0;0.7;0.3;10.0;"Link: https://www.tabele-kalorii.pl/kalorie,Sliwki.html"
"Sma¿one ziemniaki z warzywami";"domowe";0.0;100.0;171.0;1.7;11.8;15.6;"Link: https://tools.myfooddata.com/nutrition-facts/787077/100g/1"
"Œmietana 12%";"Mleczna Dolina";330.0;100.0;137.0;3.0;12.0;4.3;""
"Œmietana 18%";"Mleczna Dolina";330.0;100.0;186.0;2.5;18.0;3.6;""
"Sok Cytryna limonka";"Hortex";1000.0;100.0;45.0;0.0;0.0;11.2;""
"Sok jab³kowy";"Riviva";1000.0;100.0;42.0;0.1;0.1;10.2;"Link: https://www.tabele-kalorii.pl/kalorie,Sok-jablkowy-Riviva.html"
"Sok jab³kowy 100%";"Cappy";1000.0;100.0;47.0;0.0;0.0;11.3;"Link: https://www.tabele-kalorii.pl/kalorie,Sok-jablkowy-100-Cappy.html"
"Sok Multiwitamina Metabolizm";"Dr. Witt";1000.0;100.0;20.0;0.0;0.0;4.9;"Link: https://drwitt.pl/produkty/napoje-funkcjonalne/metabolizm-multiwitamina-cynk-8-witamin/#"
"Sok Multiwitamina Witalnoœæ";"Dr. Witt";1000.0;100.0;20.0;0.0;0.0;4.9;""
"Sok pomarañczowy 100%";"Cappy";0.0;100.0;42.0;0.7;0.0;8.7;""
"Sos 1000 wysp";"Madero";410.0;100.0;271.0;0.7;25.0;11.0;""
"Sos boloñski domowy";"";0.0;100.0;57.63;7.99;1.47;3.1;""
"Sos czosnkowy";"Madero";410.0;100.0;334.0;1.0;32.0;8.6;""
"Sos do makaronu z papryk¹";"Pudliszki";500.0;100.0;57.0;1.2;1.0;10.2;""
"Sos do makaronu z pieczarkami";"Pudliszki";500.0;100.0;55.0;1.4;1.0;9.5;""
"Spaghetti bolognese - domowe";"domowe";0.0;100.0;172.14;9.77;9.02;13.1;"Link: https://www.tabele-kalorii.pl/kalorie,Spaghetti-bolognese-Przepis-od-zoe-87.html"
"Sprite";"The Coca-Cola Company";0.0;100.0;37.0;0.0;0.0;9.0;"/online.makro.pl/shop/pv/BTY-X337449/0032/0022/Sprite-FS-Nap%C3%B3j-gazowany-850-ml-12-sztuk"
"Sprite zero";"The Coca-Cola Company";0.0;100.0;1.0;0.0;0.0;0.0;"Dane z opakowania"
"Sto³owy sos hamburger pomidorowo-jogurtowy";"Madero";410.0;100.0;265.0;1.7;23.0;11.0;"/zakupy.biedronka.pl/madero-madero-stolowy-sos-hamburger-pomidorowo-jogurtowy-410-g-0000003350.html"
"Surimi - paluszki";"Vici";250.0;100.0;112.0;8.2;3.2;13.2;""
"Sushi wegetariañskie";"";0.0;100.0;170.0;3.6;2.2;35.2;"https://dietly.pl/blog/sushi-kcal-ile-kalorii-ma-sushi?srsltid=AfmBOor1giNPJbr5dCZcjMC5fo71H8JQMdhup5Y5Q0l7K-Dl6OrQMnQ5"
"Syrop klonowy";"Maple Joe";250.0;100.0;268.0;0.0;0.0;67.0;"Dane z opakowania"
"Szprot w pomidorach";"Graal";300.0;100.0;108.0;11.8;4.3;5.6;""
"Szynka drobiowa";"";0.0;100.0;479.0;19.0;1.9;4.9;"Ogólny produkt bazuj¹cy na firmie - Tarczyñski"
"Szynka wieprzowa";"";0.0;100.0;136.0;20.5;5.41;0.0;"Produkt ogólny"
"Szynka z indyka - Pyszny indyk";"Pyszny indyk";570.0;100.0;107.0;13.0;4.9;3.2;"/www.tabele-kalorii.pl/kalorie,Szynka-z-indyka-Pyszny-indyk.html"
"Tort czekoladowy - urodzinowy";"";0.0;100.0;410.0;17.0;22.9;58.0;"Link: https://www.tabele-kalorii.pl/kalorie,Tort-czekoladowy.html"
"Tost maœlany";"Pano";500.0;100.0;267.0;8.6;3.2;50.0;""
"Tost pszenny";"PANO";500.0;100.0;244.0;7.8;1.4;49.0;""
"Truskawki";"owoce";0.0;100.0;29.0;0.61;0.37;4.71;"Link: https://www.tabele-kalorii.pl/kalorie,Truskawki.html"
"Tuñczyk kawa³ki w sosie w³asnym";"Marinero";130.0;100.0;75.0;17.0;0.5;0.5;"Opakowanie ma - 130"
"Turecki borek ze szpinakiem i serem";"Biedronka";75.0;100.0;287.0;6.2;16.0;28.0;"/zakupy.biedronka.pl/biedronka-turecki-borek-ze-szpinakiem-i-serem-75-g-0000009559.html"
"Twaróg Delikatny rzodkiewka";"President";350.0;100.0;132.0;5.8;10.0;4.5;""
"Twaróg Delikatny z pomidorami";"President";150.0;100.0;111.0;8.2;7.0;3.7;""
"Twaróg Delikatny z zio³ami";"President";150.0;100.0;113.0;7.8;7.0;4.2;""
"Twaróg Delikatny ze szczypiorkiem";"President";150.0;100.0;87.0;9.0;4.0;2.7;""
"Twaróg Klinek - chudy";"Delikate";250.0;100.0;85.0;16.0;0.3;4.5;""
